id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7KJVh9zU77dzRVs9ZDyztF,Up In Texas,Midland,49,0.459,0.562,7,-6.87,1,0.0352,0.183,0.0,0.103,0.463,164.222,audio_features,spotify:track:7KJVh9zU77dzRVs9ZDyztF,https://api.spotify.com/v1/tracks/7KJVh9zU77dzRVs9ZDyztF,https://api.spotify.com/v1/audio-analysis/7KJVh9zU77dzRVs9ZDyztF,191269,3
6i0PAqQSb5R5bc5y1Lt3ZK,Deathbed,Troy Cartwright,43,0.396,0.275,9,-8.557,1,0.0302,0.891,5.51e-06,0.152,0.297,137.652,audio_features,spotify:track:6i0PAqQSb5R5bc5y1Lt3ZK,https://api.spotify.com/v1/tracks/6i0PAqQSb5R5bc5y1Lt3ZK,https://api.spotify.com/v1/audio-analysis/6i0PAqQSb5R5bc5y1Lt3ZK,187347,3
2TooRcNf7awyRJrO7XPric,Counterfeit,Taylor Edwards,38,0.579,0.449,3,-6.452,1,0.0394,0.689,0.0,0.103,0.327,149.98,audio_features,spotify:track:2TooRcNf7awyRJrO7XPric,https://api.spotify.com/v1/tracks/2TooRcNf7awyRJrO7XPric,https://api.spotify.com/v1/audio-analysis/2TooRcNf7awyRJrO7XPric,165264,4
7dmA9608TJjycVFNBeLtQZ,Ain’t Thinkin’ Bout You,Greylan James,42,0.76,0.617,1,-4.745,0,0.0422,0.465,5.32e-05,0.103,0.652,138.017,audio_features,spotify:track:7dmA9608TJjycVFNBeLtQZ,https://api.spotify.com/v1/tracks/7dmA9608TJjycVFNBeLtQZ,https://api.spotify.com/v1/audio-analysis/7dmA9608TJjycVFNBeLtQZ,150261,4
4aObShc8vjide6u2ogvrD4,"Always on My Mind - Live at The Hollywood Bowl, Los Angeles, CA - April 30, 2023",Chris Stapleton,51,0.328,0.497,2,-7.64,1,0.0332,0.743,0.0192,0.973,0.218,71.667,audio_features,spotify:track:4aObShc8vjide6u2ogvrD4,https://api.spotify.com/v1/tracks/4aObShc8vjide6u2ogvrD4,https://api.spotify.com/v1/audio-analysis/4aObShc8vjide6u2ogvrD4,219229,4
23s4QWE0SAFXDKqpCl8Olq,Whatever It Is,Owen Riegling,35,0.468,0.447,0,-9.568,1,0.0385,0.433,9.46e-06,0.126,0.565,78.274,audio_features,spotify:track:23s4QWE0SAFXDKqpCl8Olq,https://api.spotify.com/v1/tracks/23s4QWE0SAFXDKqpCl8Olq,https://api.spotify.com/v1/audio-analysis/23s4QWE0SAFXDKqpCl8Olq,219855,4
1OjwkAModHwIktNf5JE6tm,King of California,Dasha,33,0.474,0.726,7,-6.157,0,0.117,0.0308,1.46e-06,0.0912,0.249,176.147,audio_features,spotify:track:1OjwkAModHwIktNf5JE6tm,https://api.spotify.com/v1/tracks/1OjwkAModHwIktNf5JE6tm,https://api.spotify.com/v1/audio-analysis/1OjwkAModHwIktNf5JE6tm,202585,4
2REwEj9qzq1D7pcvPfLFxV,One More Lie (feat. Max McNown),Eddie Flint,44,0.772,0.461,11,-8.988,1,0.0273,0.305,4.13e-06,0.13,0.217,111.964,audio_features,spotify:track:2REwEj9qzq1D7pcvPfLFxV,https://api.spotify.com/v1/tracks/2REwEj9qzq1D7pcvPfLFxV,https://api.spotify.com/v1/audio-analysis/2REwEj9qzq1D7pcvPfLFxV,194847,4
1dOw29wxOBU1hSw6Qsnim3,18 Days,Cody Hibbard,37,0.506,0.866,9,-4.581,1,0.0389,0.00171,0.0,0.0938,0.484,134.135,audio_features,spotify:track:1dOw29wxOBU1hSw6Qsnim3,https://api.spotify.com/v1/tracks/1dOw29wxOBU1hSw6Qsnim3,https://api.spotify.com/v1/audio-analysis/1dOw29wxOBU1hSw6Qsnim3,224578,4
1eoapzLQuYBDRDaHQuxXc4,Mind On You (feat. charlieonnafriday & Kidd G),George Birge,45,0.605,0.836,1,-4.94,1,0.0272,0.11,0.0,0.17,0.587,130.089,audio_features,spotify:track:1eoapzLQuYBDRDaHQuxXc4,https://api.spotify.com/v1/tracks/1eoapzLQuYBDRDaHQuxXc4,https://api.spotify.com/v1/audio-analysis/1eoapzLQuYBDRDaHQuxXc4,201923,4
