id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
73f5rpLgydSRIvHzRLcJFF,Crazy,Lil Baby,60,0.818,0.435,4,-8.167,0,0.322,0.0755,0.0,0.207,0.282,130.046,audio_features,spotify:track:73f5rpLgydSRIvHzRLcJFF,https://api.spotify.com/v1/tracks/73f5rpLgydSRIvHzRLcJFF,https://api.spotify.com/v1/audio-analysis/73f5rpLgydSRIvHzRLcJFF,192000,4
6Hn4RAq9DerZedTzgyCgvC,Beep Beep (feat. 50 Cent),Nicki Minaj,55,0.722,0.625,5,-7.06,0,0.214,0.0675,0.000576,0.143,0.361,83.088,audio_features,spotify:track:6Hn4RAq9DerZedTzgyCgvC,https://api.spotify.com/v1/tracks/6Hn4RAq9DerZedTzgyCgvC,https://api.spotify.com/v1/audio-analysis/6Hn4RAq9DerZedTzgyCgvC,147470,4
4qmG24ebshLXtKu9HIShBP,Lace It (with Eminem & benny blanco),Juice WRLD,0,0.773,0.597,2,-7.138,1,0.309,0.194,0.0,0.22,0.305,160.101,audio_features,spotify:track:4qmG24ebshLXtKu9HIShBP,https://api.spotify.com/v1/tracks/4qmG24ebshLXtKu9HIShBP,https://api.spotify.com/v1/audio-analysis/4qmG24ebshLXtKu9HIShBP,217527,4
5XPDCL8gWjS1M9cpdY0OGL,Talk,Gucci Mane,54,0.751,0.65,1,-7.797,1,0.198,0.0242,0.0,0.0863,0.431,137.906,audio_features,spotify:track:5XPDCL8gWjS1M9cpdY0OGL,https://api.spotify.com/v1/tracks/5XPDCL8gWjS1M9cpdY0OGL,https://api.spotify.com/v1/audio-analysis/5XPDCL8gWjS1M9cpdY0OGL,161779,4
2ZV5AvOBqnNjGa5pgLmSOl,The Grinch Freestyle (feat. Latto),Luh Tyler,50,0.822,0.705,9,-5.643,1,0.365,0.0301,0.0,0.0816,0.781,160.017,audio_features,spotify:track:2ZV5AvOBqnNjGa5pgLmSOl,https://api.spotify.com/v1/tracks/2ZV5AvOBqnNjGa5pgLmSOl,https://api.spotify.com/v1/audio-analysis/2ZV5AvOBqnNjGa5pgLmSOl,148558,4
273T9K9df4B9KpipYZY4o4,Get Deady,Fivio Foreign,53,0.809,0.722,1,-6.631,1,0.285,0.0201,4.27e-06,0.0727,0.454,140.053,audio_features,spotify:track:273T9K9df4B9KpipYZY4o4,https://api.spotify.com/v1/tracks/273T9K9df4B9KpipYZY4o4,https://api.spotify.com/v1/audio-analysis/273T9K9df4B9KpipYZY4o4,203143,4
07DzN4K6A7nP9ObnBRQAcO,She Don't Play,DDG,48,0.792,0.8,4,-4.653,0,0.328,0.223,0.0,0.156,0.935,96.869,audio_features,spotify:track:07DzN4K6A7nP9ObnBRQAcO,https://api.spotify.com/v1/tracks/07DzN4K6A7nP9ObnBRQAcO,https://api.spotify.com/v1/audio-analysis/07DzN4K6A7nP9ObnBRQAcO,140464,4
0Fg88OWOdERXLMDcTWYwjf,Home Alone (with J. Cole),Bas,58,0.759,0.494,2,-9.495,1,0.341,0.343,0.0,0.114,0.174,129.969,audio_features,spotify:track:0Fg88OWOdERXLMDcTWYwjf,https://api.spotify.com/v1/tracks/0Fg88OWOdERXLMDcTWYwjf,https://api.spotify.com/v1/audio-analysis/0Fg88OWOdERXLMDcTWYwjf,209752,4
3GMkpfmfY5Z291hAlS3xqg,Forreal (feat. Lil Yachty),YTB Fatt,45,0.666,0.53,2,-7.509,1,0.232,0.144,0.0,0.135,0.202,159.988,audio_features,spotify:track:3GMkpfmfY5Z291hAlS3xqg,https://api.spotify.com/v1/tracks/3GMkpfmfY5Z291hAlS3xqg,https://api.spotify.com/v1/audio-analysis/3GMkpfmfY5Z291hAlS3xqg,132880,4
2ag63YRXI0d58BZpYZRhBO,Brainstorming,Hunxho,44,0.54,0.574,0,-6.594,1,0.158,0.0853,0.0,0.283,0.321,81.15,audio_features,spotify:track:2ag63YRXI0d58BZpYZRhBO,https://api.spotify.com/v1/tracks/2ag63YRXI0d58BZpYZRhBO,https://api.spotify.com/v1/audio-analysis/2ag63YRXI0d58BZpYZRhBO,164081,4
289C3Hb4Y8M97dlyJsJwQz,Yams Day,A$AP Twelvyy,53,0.832,0.812,11,-3.338,1,0.26,0.107,0.0,0.23,0.53,129.985,audio_features,spotify:track:289C3Hb4Y8M97dlyJsJwQz,https://api.spotify.com/v1/tracks/289C3Hb4Y8M97dlyJsJwQz,https://api.spotify.com/v1/audio-analysis/289C3Hb4Y8M97dlyJsJwQz,181614,4
