id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
22AVtdVU43dMFTeWaUCthT,QUE CHIMBA DE VIDA,KAROL G,71,0.788,0.806,0,-2.912,1,0.0532,0.0684,3.26e-06,0.0962,0.635,94.994,audio_features,spotify:track:22AVtdVU43dMFTeWaUCthT,https://api.spotify.com/v1/tracks/22AVtdVU43dMFTeWaUCthT,https://api.spotify.com/v1/audio-analysis/22AVtdVU43dMFTeWaUCthT,123351,4
73f5rpLgydSRIvHzRLcJFF,Crazy,Lil Baby,60,0.818,0.435,4,-8.167,0,0.322,0.0755,0.0,0.207,0.282,130.046,audio_features,spotify:track:73f5rpLgydSRIvHzRLcJFF,https://api.spotify.com/v1/tracks/73f5rpLgydSRIvHzRLcJFF,https://api.spotify.com/v1/audio-analysis/73f5rpLgydSRIvHzRLcJFF,192000,4
1uQvn6qvdkWRNiA7Lol9BT,Not My Fault (with Megan Thee Stallion),Reneé Rapp,66,0.813,0.799,11,-6.033,1,0.189,0.112,1.34e-06,0.406,0.842,124.001,audio_features,spotify:track:1uQvn6qvdkWRNiA7Lol9BT,https://api.spotify.com/v1/tracks/1uQvn6qvdkWRNiA7Lol9BT,https://api.spotify.com/v1/audio-analysis/1uQvn6qvdkWRNiA7Lol9BT,170528,4
64VYqDH3xyxIFZjrsgjLCZ,Love Me Enough (feat. Monica & Keyshia Cole),Nicki Minaj,56,0.477,0.504,1,-10.195,0,0.3,0.338,0.0,0.0853,0.586,76.547,audio_features,spotify:track:64VYqDH3xyxIFZjrsgjLCZ,https://api.spotify.com/v1/tracks/64VYqDH3xyxIFZjrsgjLCZ,https://api.spotify.com/v1/audio-analysis/64VYqDH3xyxIFZjrsgjLCZ,230400,3
2YrAC1ZW7G7jiZfz2tHoXw,Grown Woman,Beyoncé,63,0.899,0.786,1,-5.473,1,0.0691,0.0192,0.00974,0.065,0.861,119.988,audio_features,spotify:track:2YrAC1ZW7G7jiZfz2tHoXw,https://api.spotify.com/v1/tracks/2YrAC1ZW7G7jiZfz2tHoXw,https://api.spotify.com/v1/audio-analysis/2YrAC1ZW7G7jiZfz2tHoXw,310863,4
5XPDCL8gWjS1M9cpdY0OGL,Talk,Gucci Mane,54,0.751,0.65,1,-7.797,1,0.198,0.0242,0.0,0.0863,0.431,137.906,audio_features,spotify:track:5XPDCL8gWjS1M9cpdY0OGL,https://api.spotify.com/v1/tracks/5XPDCL8gWjS1M9cpdY0OGL,https://api.spotify.com/v1/audio-analysis/5XPDCL8gWjS1M9cpdY0OGL,161779,4
2ZV5AvOBqnNjGa5pgLmSOl,The Grinch Freestyle (feat. Latto),Luh Tyler,50,0.822,0.705,9,-5.643,1,0.365,0.0301,0.0,0.0816,0.781,160.017,audio_features,spotify:track:2ZV5AvOBqnNjGa5pgLmSOl,https://api.spotify.com/v1/tracks/2ZV5AvOBqnNjGa5pgLmSOl,https://api.spotify.com/v1/audio-analysis/2ZV5AvOBqnNjGa5pgLmSOl,148558,4
6FvMc0dfKvSbzFmqfT1GoG,TQMQA,Eladio Carrion,67,0.613,0.552,5,-7.71,1,0.207,0.631,0.0,0.119,0.588,112.678,audio_features,spotify:track:6FvMc0dfKvSbzFmqfT1GoG,https://api.spotify.com/v1/tracks/6FvMc0dfKvSbzFmqfT1GoG,https://api.spotify.com/v1/audio-analysis/6FvMc0dfKvSbzFmqfT1GoG,169911,4
2b6tGpbflP62TnzKx9TSDu,A Room Up In The Sky (feat. The Marías),Eyedress,52,0.551,0.535,6,-7.042,0,0.0294,0.00749,0.532,0.0672,0.507,62.981,audio_features,spotify:track:2b6tGpbflP62TnzKx9TSDu,https://api.spotify.com/v1/tracks/2b6tGpbflP62TnzKx9TSDu,https://api.spotify.com/v1/audio-analysis/2b6tGpbflP62TnzKx9TSDu,165525,4
1HmeANWuuCP6ldvGgKwTLi,Hungover (with Camden Cox),John Summit,57,0.625,0.849,2,-4.34,0,0.0388,0.0185,0.0331,0.0807,0.103,135.935,audio_features,spotify:track:1HmeANWuuCP6ldvGgKwTLi,https://api.spotify.com/v1/tracks/1HmeANWuuCP6ldvGgKwTLi,https://api.spotify.com/v1/audio-analysis/1HmeANWuuCP6ldvGgKwTLi,220588,4
273T9K9df4B9KpipYZY4o4,Get Deady,Fivio Foreign,53,0.809,0.722,1,-6.631,1,0.285,0.0201,4.27e-06,0.0727,0.454,140.053,audio_features,spotify:track:273T9K9df4B9KpipYZY4o4,https://api.spotify.com/v1/tracks/273T9K9df4B9KpipYZY4o4,https://api.spotify.com/v1/audio-analysis/273T9K9df4B9KpipYZY4o4,203143,4
1CtcgU1q0BgJN4Aottdscu,Joga Pra Lua,Anitta,65,0.919,0.953,9,-2.62,0,0.0443,0.47,2.38e-06,0.113,0.874,133.515,audio_features,spotify:track:1CtcgU1q0BgJN4Aottdscu,https://api.spotify.com/v1/tracks/1CtcgU1q0BgJN4Aottdscu,https://api.spotify.com/v1/audio-analysis/1CtcgU1q0BgJN4Aottdscu,125108,4
5B8VpcIC3EAI3wke3XQoRy,"Fire! (feat. YUQI ((G)I-DLE), JVKE)",Alan Walker,66,0.764,0.702,1,-5.738,1,0.0471,0.0621,0.0,0.08,0.378,125.0,audio_features,spotify:track:5B8VpcIC3EAI3wke3XQoRy,https://api.spotify.com/v1/tracks/5B8VpcIC3EAI3wke3XQoRy,https://api.spotify.com/v1/audio-analysis/5B8VpcIC3EAI3wke3XQoRy,137603,4
3wTgyWjqIU4tg25T7qqm9l,Really good cry,BETWEEN FRIENDS,49,0.579,0.863,7,-5.537,0,0.11,0.0141,2.9e-05,0.0874,0.76,170.137,audio_features,spotify:track:3wTgyWjqIU4tg25T7qqm9l,https://api.spotify.com/v1/tracks/3wTgyWjqIU4tg25T7qqm9l,https://api.spotify.com/v1/audio-analysis/3wTgyWjqIU4tg25T7qqm9l,114917,4
0CGrKBmgI0jrkt3Qd1PM4t,Don't Need to Sleep,John Legend,54,0.474,0.634,7,-5.51,0,0.0392,0.3,4.82e-05,0.343,0.185,122.716,audio_features,spotify:track:0CGrKBmgI0jrkt3Qd1PM4t,https://api.spotify.com/v1/tracks/0CGrKBmgI0jrkt3Qd1PM4t,https://api.spotify.com/v1/audio-analysis/0CGrKBmgI0jrkt3Qd1PM4t,188876,4
7Ip7z542rLsvn0LFZ7HUZZ,sweet tooth,ericdoa,53,0.504,0.641,0,-5.059,1,0.0306,0.00229,0.0,0.4,0.301,149.963,audio_features,spotify:track:7Ip7z542rLsvn0LFZ7HUZZ,https://api.spotify.com/v1/tracks/7Ip7z542rLsvn0LFZ7HUZZ,https://api.spotify.com/v1/audio-analysis/7Ip7z542rLsvn0LFZ7HUZZ,148468,4
07DzN4K6A7nP9ObnBRQAcO,She Don't Play,DDG,48,0.792,0.8,4,-4.653,0,0.328,0.223,0.0,0.156,0.935,96.869,audio_features,spotify:track:07DzN4K6A7nP9ObnBRQAcO,https://api.spotify.com/v1/tracks/07DzN4K6A7nP9ObnBRQAcO,https://api.spotify.com/v1/audio-analysis/07DzN4K6A7nP9ObnBRQAcO,140464,4
0Fg88OWOdERXLMDcTWYwjf,Home Alone (with J. Cole),Bas,58,0.759,0.494,2,-9.495,1,0.341,0.343,0.0,0.114,0.174,129.969,audio_features,spotify:track:0Fg88OWOdERXLMDcTWYwjf,https://api.spotify.com/v1/tracks/0Fg88OWOdERXLMDcTWYwjf,https://api.spotify.com/v1/audio-analysis/0Fg88OWOdERXLMDcTWYwjf,209752,4
4sYEbnGCzKSQdhNjQj1kjE,No Love Lost - From the Original Motion Picture “The Color Purple”,Keyshia Cole,43,0.324,0.666,4,-5.057,0,0.0698,0.0384,0.0,0.068,0.395,171.617,audio_features,spotify:track:4sYEbnGCzKSQdhNjQj1kjE,https://api.spotify.com/v1/tracks/4sYEbnGCzKSQdhNjQj1kjE,https://api.spotify.com/v1/audio-analysis/4sYEbnGCzKSQdhNjQj1kjE,284653,4
6UpQnWMqluVLTdCyk3qFJ4,Taking Off,Omarion,48,0.428,0.513,8,-7.56,1,0.0643,0.229,0.0,0.213,0.419,101.434,audio_features,spotify:track:6UpQnWMqluVLTdCyk3qFJ4,https://api.spotify.com/v1/tracks/6UpQnWMqluVLTdCyk3qFJ4,https://api.spotify.com/v1/audio-analysis/6UpQnWMqluVLTdCyk3qFJ4,229838,4
7KJVh9zU77dzRVs9ZDyztF,Up In Texas,Midland,49,0.459,0.562,7,-6.87,1,0.0352,0.183,0.0,0.103,0.463,164.222,audio_features,spotify:track:7KJVh9zU77dzRVs9ZDyztF,https://api.spotify.com/v1/tracks/7KJVh9zU77dzRVs9ZDyztF,https://api.spotify.com/v1/audio-analysis/7KJVh9zU77dzRVs9ZDyztF,191269,3
4HPUbi24ZEBCwO9kSQ0Jk3,Remind Me,Lost Kings,46,0.691,0.876,0,-6.099,1,0.116,0.103,0.0778,0.397,0.646,140.043,audio_features,spotify:track:4HPUbi24ZEBCwO9kSQ0Jk3,https://api.spotify.com/v1/tracks/4HPUbi24ZEBCwO9kSQ0Jk3,https://api.spotify.com/v1/audio-analysis/4HPUbi24ZEBCwO9kSQ0Jk3,154357,4
3jlxGtWO91pqDHD3Nb00ku,Girls Just Wanna,Lay Bankz,44,0.684,0.522,9,-6.877,0,0.0458,0.0313,0.0,0.341,0.292,139.999,audio_features,spotify:track:3jlxGtWO91pqDHD3Nb00ku,https://api.spotify.com/v1/tracks/3jlxGtWO91pqDHD3Nb00ku,https://api.spotify.com/v1/audio-analysis/3jlxGtWO91pqDHD3Nb00ku,130478,4
2ag63YRXI0d58BZpYZRhBO,Brainstorming,Hunxho,44,0.54,0.574,0,-6.594,1,0.158,0.0853,0.0,0.283,0.321,81.15,audio_features,spotify:track:2ag63YRXI0d58BZpYZRhBO,https://api.spotify.com/v1/tracks/2ag63YRXI0d58BZpYZRhBO,https://api.spotify.com/v1/audio-analysis/2ag63YRXI0d58BZpYZRhBO,164081,4
3GMkpfmfY5Z291hAlS3xqg,Forreal (feat. Lil Yachty),YTB Fatt,45,0.666,0.53,2,-7.509,1,0.232,0.144,0.0,0.135,0.202,159.988,audio_features,spotify:track:3GMkpfmfY5Z291hAlS3xqg,https://api.spotify.com/v1/tracks/3GMkpfmfY5Z291hAlS3xqg,https://api.spotify.com/v1/audio-analysis/3GMkpfmfY5Z291hAlS3xqg,132880,4
