id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6BrfgV35h3NfTtIdMqhmFQ,we're all eating each other,Juliet Ivy,70,0.777,0.639,2,-5.701,1,0.0289,0.0117,0.000222,0.209,0.601,105.014,audio_features,spotify:track:6BrfgV35h3NfTtIdMqhmFQ,https://api.spotify.com/v1/tracks/6BrfgV35h3NfTtIdMqhmFQ,https://api.spotify.com/v1/audio-analysis/6BrfgV35h3NfTtIdMqhmFQ,151143,4
3oUEzTAoOxqZHN4xiqTGqJ,Bécane - A COLORS SHOW,Yamê,82,0.504,0.527,10,-7.765,1,0.0976,0.333,0.0,0.0976,0.234,117.866,audio_features,spotify:track:3oUEzTAoOxqZHN4xiqTGqJ,https://api.spotify.com/v1/tracks/3oUEzTAoOxqZHN4xiqTGqJ,https://api.spotify.com/v1/audio-analysis/3oUEzTAoOxqZHN4xiqTGqJ,182440,4
21vc2kQZMS00cAyNT82a1M,Vultures,¥$,82,0.712,0.554,1,-6.982,0,0.211,0.157,0.0,0.12,0.535,146.086,audio_features,spotify:track:21vc2kQZMS00cAyNT82a1M,https://api.spotify.com/v1/tracks/21vc2kQZMS00cAyNT82a1M,https://api.spotify.com/v1/audio-analysis/21vc2kQZMS00cAyNT82a1M,237535,4
1OG7o5af3ILKrFkp7pvvb0,Wondering Why,The Red Clay Strays,78,0.524,0.209,4,-12.437,1,0.0405,0.85,0.0,0.173,0.347,148.59,audio_features,spotify:track:1OG7o5af3ILKrFkp7pvvb0,https://api.spotify.com/v1/tracks/1OG7o5af3ILKrFkp7pvvb0,https://api.spotify.com/v1/audio-analysis/1OG7o5af3ILKrFkp7pvvb0,232918,3
3MBWR1rqc72QGiFIaOpKv6,Little Life,Cordelia,68,0.507,0.0606,11,-15.605,1,0.0342,0.92,2.62e-06,0.111,0.173,130.629,audio_features,spotify:track:3MBWR1rqc72QGiFIaOpKv6,https://api.spotify.com/v1/tracks/3MBWR1rqc72QGiFIaOpKv6,https://api.spotify.com/v1/audio-analysis/3MBWR1rqc72QGiFIaOpKv6,270316,5
6mTcIbKdnX6IIp8c305yQw,Turn Red,M Dot R,59,0.893,0.525,11,-9.336,0,0.406,0.756,2.73e-05,0.0876,0.64,99.997,audio_features,spotify:track:6mTcIbKdnX6IIp8c305yQw,https://api.spotify.com/v1/tracks/6mTcIbKdnX6IIp8c305yQw,https://api.spotify.com/v1/audio-analysis/6mTcIbKdnX6IIp8c305yQw,109800,4
067ogyD1BIeZDh4UD0yV3Y,90s Rap Mashup,Austin Williams,67,0.709,0.674,7,-4.941,0,0.0589,0.0297,0.0,0.127,0.432,87.961,audio_features,spotify:track:067ogyD1BIeZDh4UD0yV3Y,https://api.spotify.com/v1/tracks/067ogyD1BIeZDh4UD0yV3Y,https://api.spotify.com/v1/audio-analysis/067ogyD1BIeZDh4UD0yV3Y,210861,4
1Hg0KhBCuME4PgsTYMBK9y,Мой мармеладный (Я не права),Katya Lel,79,0.8,0.602,5,-4.473,0,0.0539,0.0235,4.33e-06,0.259,0.762,120.025,audio_features,spotify:track:1Hg0KhBCuME4PgsTYMBK9y,https://api.spotify.com/v1/tracks/1Hg0KhBCuME4PgsTYMBK9y,https://api.spotify.com/v1/audio-analysis/1Hg0KhBCuME4PgsTYMBK9y,223190,4
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),The Pogues,82,0.271,0.551,2,-7.48,1,0.0457,0.582,4.16e-05,0.256,0.428,78.111,audio_features,spotify:track:3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/tracks/3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/audio-analysis/3VTNVsTTu05dmTsVFrmGpK,272467,4
3VBj0lzjmhTzVFPEDOjNCG,BATTER UP,BABYMONSTER,84,0.903,0.685,11,-4.772,0,0.105,0.069,1.12e-05,0.127,0.873,130.01,audio_features,spotify:track:3VBj0lzjmhTzVFPEDOjNCG,https://api.spotify.com/v1/tracks/3VBj0lzjmhTzVFPEDOjNCG,https://api.spotify.com/v1/audio-analysis/3VBj0lzjmhTzVFPEDOjNCG,188180,4
